iter	Passed	Remaining
867	3212	33795
868	3215	33787
869	3218	33777
870	3223	33781
871	3226	33773
872	3229	33764
873	3232	33754
874	3237	33763
875	3241	33758
876	3244	33747
877	3247	33738
878	3251	33744
879	3255	33738
880	3258	33727
881	3261	33721
882	3267	33737
883	3270	33730
884	3274	33721
885	3277	33710
886	3281	33710
887	3284	33703
888	3287	33694
889	3290	33686
890	3295	33688
891	3299	33685
892	3302	33676
893	3305	33665
894	3309	33672
895	3314	33678
896	3318	33672
897	3321	33667
898	3325	33669
899	3329	33665
900	3332	33658
901	3336	33653
902	3340	33656
903	3344	33651
904	3348	33648
905	3352	33654
906	3356	33652
907	3359	33643
908	3362	33632
909	3366	33628
910	3370	33631
911	3374	33622
912	3377	33612
913	3380	33601
914	3384	33605
915	3387	33598
916	3391	33588
917	3394	33578
918	3399	33590
919	3402	33580
920	3405	33571
921	3408	33559
922	3413	33565
923	3416	33561
924	3419	33552
925	3422	33541
926	3427	33549
927	3431	33542
928	3434	33532
929	3437	33522
930	3442	33538
931	3446	33532
932	3449	33523
933	3452	33512
934	3457	33519
935	3461	33518
936	3464	33511
937	3467	33501
938	3472	33506
939	3475	33500
940	3478	33491
941	3481	33480
942	3486	33486
943	3491	33490
944	3494	33484
945	3497	33475
946	3502	33482
947	3506	33478
948	3509	33469
949	3512	33462
950	3517	33467
951	3520	33462
952	3524	33458
953	3527	33451
954	3532	33455
955	3535	33448
956	3538	33439
957	3541	33428
958	3546	33434
959	3549	33428
960	3553	33421
961	3556	33412
962	3561	33419
963	3564	33413
964	3567	33405
965	3570	33395
966	3575	33403
967	3579	33397
968	3582	33389
969	3585	33379
970	3590	33386
971	3594	33382
972	3597	33373
973	3600	33364
974	3605	33372
975	3608	33365
976	3611	33356
977	3614	33347
978	3620	33357
979	3623	33350
980	3626	33341
981	3629	33331
982	3634	33341
983	3638	33335
984	3641	33327
985	3644	33319
986	3649	33327
987	3653	33323
988	3657	33323
989	3661	33327
990	3667	33339
991	3670	33333
992	3674	33326
993	3679	33335
994	3682	33331
995	3686	33328
996	3692	33343
997	3696	33344
998	3700	33339
999	3703	33332
1000	3709	33350
1001	3713	33344
1002	3716	33335
1003	3720	33335
1004	3725	33340
1005	3728	33333
1006	3731	33325
1007	3737	33339
1008	3741	33335
1009	3744	33326
1010	3747	33319
1011	3752	33327
1012	3755	33321
1013	3759	33315
1014	3762	33307
1015	3767	33314
1016	3770	33308
1017	3774	33301
1018	3777	33296
